AREA_2,CODE_2,NAME_2,adm0,adm1,adm2,adm3,islands,province,regency,district,residency,government,division,subdivision,nativemen,nativewomen,nativetotal,eurmen,eurwomen,eurtotal,chinesemen,chinesewomen,chinesetotal,othermen,otherwomen,othertotal,totalmen,totalwomen,total
JAVA EN MADOERA,151,Watoekoempoel,JAVA EN MADOERA,Midden-Java,Pemalang,Watoekoempoel,JAVA EN MADOERA,Midden-Java,Pemalang,Watoekoempoel,,,,,24039,24759,48798,0,0,0,11,5,16,6,8,14,24056,24772,48828
JAVA EN MADOERA,124,Poerbalingga,JAVA EN MADOERA,Midden-Java,Poerbalingga,Poerbalingga,JAVA EN MADOERA,Midden-Java,Poerbalingga,Poerbalingga,,,,,86849,93061,179910,116,103,219,880,727,1607,19,7,26,87864,93898,181762
JAVA EN MADOERA,126,Bobotsari,JAVA EN MADOERA,Midden-Java,Poerbalingga,Bobotsari,JAVA EN MADOERA,Midden-Java,Poerbalingga,Bobotsari,,,,,53757,55902,109659,1,2,3,180,161,341,1,0,1,53939,56065,110004
JAVA EN MADOERA,125,Boekatedja,JAVA EN MADOERA,Midden-Java,Poerbalingga,Boekatedja,JAVA EN MADOERA,Midden-Java,Poerbalingga,Boekatedja,,,,,62062,64540,126602,2,1,3,133,142,275,0,0,0,62197,64683,126880
JAVA EN MADOERA,128,Djatilawang,JAVA EN MADOERA,Midden-Java,Poerwokerto,Djatilawang,JAVA EN MADOERA,Midden-Java,Poerwokerto,Djatilawang,,,,,60492,61872,122364,6,3,9,268,222,490,0,0,0,60766,62097,122863
JAVA EN MADOERA,129,Adjibarang,JAVA EN MADOERA,Midden-Java,Poerwokerto,Adjibarang,JAVA EN MADOERA,Midden-Java,Poerwokerto,Adjibarang,,,,,59001,61613,120614,10,6,16,395,368,763,2,1,3,59408,61988,121396
JAVA EN MADOERA,127,Poerwokerto,JAVA EN MADOERA,Midden-Java,Poerwokerto,Poerwokerto,JAVA EN MADOERA,Midden-Java,Poerwokerto,Poerwokerto,,,,,72988,75865,148853,457,410,867,1547,1220,2767,85,47,132,75077,77542,152619
JAVA EN MADOERA,176,Tjangkrep,JAVA EN MADOERA,Midden-Java,Poerworedjo,Tjangkrep,JAVA EN MADOERA,Midden-Java,Poerworedjo,Tjangkrep,,,,,34886,37637,72523,3,3,6,46,44,90,0,0,0,34935,37684,72619
JAVA EN MADOERA,177,Loano,JAVA EN MADOERA,Midden-Java,Poerworedjo,Loano,JAVA EN MADOERA,Midden-Java,Poerworedjo,Loano,,,,,45880,48482,94362,2,1,3,44,36,80,0,1,1,45926,48520,94446
JAVA EN MADOERA,175,Poerworedjo (in POERWOREDJO),JAVA EN MADOERA,Midden-Java,Poerworedjo,Poerworedjo (in POERWOREDJO),JAVA EN MADOERA,Midden-Java,Poerworedjo,Poerworedjo,,,,,52906,58505,111411,469,403,872,1021,862,1883,57,28,85,54453,59798,114251
JAVA EN MADOERA,230,Sedan,JAVA EN MADOERA,Midden-Java,Rembang,Sedan,JAVA EN MADOERA,Midden-Java,Rembang,Sedan,,,,,26828,28104,54932,11,10,21,15,14,29,4,11,15,26858,28139,54997
JAVA EN MADOERA,226,Pamotan,JAVA EN MADOERA,Midden-Java,Rembang,Pamotan,JAVA EN MADOERA,Midden-Java,Rembang,Pamotan,,,,,17724,18288,36012,0,0,0,81,94,175,1,0,1,17806,18382,36188
JAVA EN MADOERA,227,Waroe (in REMBANG),JAVA EN MADOERA,Midden-Java,Rembang,Waroe (in REMBANG),JAVA EN MADOERA,Midden-Java,Rembang,Waroe,,,,,23963,26156,50119,100,102,202,905,993,1898,10,9,19,24978,27260,52238
JAVA EN MADOERA,225,Soelang,JAVA EN MADOERA,Midden-Java,Rembang,Soelang,JAVA EN MADOERA,Midden-Java,Rembang,Soelang,,,,,24481,26214,50695,7,3,10,37,33,70,0,0,0,24525,26250,50775
JAVA EN MADOERA,228,Binangoen,JAVA EN MADOERA,Midden-Java,Rembang,Binangoen,JAVA EN MADOERA,Midden-Java,Rembang,Binangoen,,,,,25107,27575,52682,16,20,36,1921,2280,4201,4,6,10,27048,29881,56929
JAVA EN MADOERA,229,Kragan,JAVA EN MADOERA,Midden-Java,Rembang,Kragan,JAVA EN MADOERA,Midden-Java,Rembang,Kragan,,,,,19340,19424,38764,0,0,0,207,271,478,4,2,6,19551,19697,39248
JAVA EN MADOERA,198,Salatiga,JAVA EN MADOERA,Midden-Java,Semarang,Salatiga,JAVA EN MADOERA,Midden-Java,Semarang,Salatiga,,,,,71870,74585,146455,1131,1111,2242,1055,924,1979,67,50,117,74123,76670,150793
JAVA EN MADOERA,196,Oengaran,JAVA EN MADOERA,Midden-Java,Semarang,Oengaran,JAVA EN MADOERA,Midden-Java,Semarang,Oengaran,,,,,47771,47974,95745,281,290,571,354,380,734,13,15,28,48419,48659,97078
JAVA EN MADOERA,195,Semarang,JAVA EN MADOERA,Midden-Java,Semarang,Semarang,JAVA EN MADOERA,Midden-Java,Semarang,Semarang,,,,,86807,88650,175457,6363,6224,12587,14828,12595,27423,1209,1120,2329,109207,108589,217796
JAVA EN MADOERA,199,Tengaran (in SEMARANG),JAVA EN MADOERA,Midden-Java,Semarang,Tengaran (in SEMARANG),JAVA EN MADOERA,Midden-Java,Semarang,Tengaran,,,,,55699,56862,112561,21,17,38,48,37,85,7,12,19,55775,56928,112703
JAVA EN MADOERA,197,Ambarawa,JAVA EN MADOERA,Midden-Java,Semarang,Ambarawa,JAVA EN MADOERA,Midden-Java,Semarang,Ambarawa,,,,,59926,60272,120198,596,492,1088,778,653,1431,44,44,88,61344,61461,122805
JAVA EN MADOERA,141,Slawi,JAVA EN MADOERA,Midden-Java,Tegal,Slawi,JAVA EN MADOERA,Midden-Java,Tegal,Slawi,,,,,52092,57860,109952,114,110,224,762,783,1545,86,80,166,53054,58833,111887
JAVA EN MADOERA,142,Balapoelang,JAVA EN MADOERA,Midden-Java,Tegal,Balapoelang,JAVA EN MADOERA,Midden-Java,Tegal,Balapoelang,,,,,42658,46734,89392,70,50,120,359,313,672,196,201,397,43283,47298,90581
JAVA EN MADOERA,143,Boemidjawa,JAVA EN MADOERA,Midden-Java,Tegal,Boemidjawa,JAVA EN MADOERA,Midden-Java,Tegal,Boemidjawa,,,,,28485,31054,59539,11,10,21,47,46,93,8,5,13,28551,31115,59666
JAVA EN MADOERA,139,Tegal,JAVA EN MADOERA,Midden-Java,Tegal,Tegal,JAVA EN MADOERA,Midden-Java,Tegal,Tegal,,,,,48556,52232,100788,695,679,1374,1792,1641,3433,666,616,1282,51709,55168,106877
JAVA EN MADOERA,144,Djatinegara,JAVA EN MADOERA,Midden-Java,Tegal,Djatinegara,JAVA EN MADOERA,Midden-Java,Tegal,Djatinegara,,,,,16920,17493,34413,2,1,3,49,46,95,0,0,0,16971,17540,34511
JAVA EN MADOERA,146,Soerodadi,JAVA EN MADOERA,Midden-Java,Tegal,Soerodadi,JAVA EN MADOERA,Midden-Java,Tegal,Soerodadi,,,,,25881,27059,52940,10,3,13,84,65,149,2,2,4,25977,27129,53106
JAVA EN MADOERA,140,Adiwerna,JAVA EN MADOERA,Midden-Java,Tegal,Adiwerna,JAVA EN MADOERA,Midden-Java,Tegal,Adiwerna,,,,,72032,77926,149958,69,67,136,919,919,1838,20,14,34,73040,78926,151966
JAVA EN MADOERA,145,Pangkah,JAVA EN MADOERA,Midden-Java,Tegal,Pangkah,JAVA EN MADOERA,Midden-Java,Tegal,Pangkah,,,,,30171,31755,61926,53,56,109,46,48,94,8,9,17,30278,31868,62146
JAVA EN MADOERA,186,Pringsoerat,JAVA EN MADOERA,Midden-Java,Temanggoeng,Pringsoerat,JAVA EN MADOERA,Midden-Java,Temanggoeng,Pringsoerat,,,,,20034,20138,40172,12,11,23,166,155,321,1,3,4,20213,20307,40520
JAVA EN MADOERA,185,Temanggoeng,JAVA EN MADOERA,Midden-Java,Temanggoeng,Temanggoeng,JAVA EN MADOERA,Midden-Java,Temanggoeng,Temanggoeng,,,,,25209,25559,50768,95,100,195,911,812,1723,21,9,30,26236,26480,52716
JAVA EN MADOERA,187,Kaloran,JAVA EN MADOERA,Midden-Java,Temanggoeng,Kaloran,JAVA EN MADOERA,Midden-Java,Temanggoeng,Kaloran,,,,,21252,20698,41950,10,4,14,19,16,35,2,2,4,21283,20720,42003
JAVA EN MADOERA,188,Parakan,JAVA EN MADOERA,Midden-Java,Temanggoeng,Parakan,JAVA EN MADOERA,Midden-Java,Temanggoeng,Parakan,,,,,44207,43799,88006,36,27,63,1116,1093,2209,13,9,22,45372,44928,90300
JAVA EN MADOERA,189,Tjandiroto,JAVA EN MADOERA,Midden-Java,Temanggoeng,Tjandiroto,JAVA EN MADOERA,Midden-Java,Temanggoeng,Tjandiroto,,,,,27309,26336,53645,24,21,45,40,24,64,0,0,0,27373,26381,53754
JAVA EN MADOERA,113,Tjilatjap,JAVA EN MADOERA,Midden-Java,Tjilatjap,Tjilatjap,JAVA EN MADOERA,Midden-Java,Tjilatjap,Tjilatjap,,,,,73628,70882,144510,428,353,781,1190,966,2156,68,43,111,75314,72244,147558
JAVA EN MADOERA,114,Kroja,JAVA EN MADOERA,Midden-Java,Tjilatjap,Kroja,JAVA EN MADOERA,Midden-Java,Tjilatjap,Kroja,,,,,95437,100177,195614,44,34,78,507,447,954,7,7,14,95995,100665,196660
JAVA EN MADOERA,112,Sidaredja,JAVA EN MADOERA,Midden-Java,Tjilatjap,Sidaredja,JAVA EN MADOERA,Midden-Java,Tjilatjap,Sidaredja,,,,,62527,60993,123520,32,24,56,425,328,753,2,0,2,62986,61345,124331
JAVA EN MADOERA,111,Madjenang,JAVA EN MADOERA,Midden-Java,Tjilatjap,Madjenang,JAVA EN MADOERA,Midden-Java,Tjilatjap,Madjenang,,,,,50488,50981,101469,28,20,48,263,199,462,12,13,25,50791,51213,102004
JAVA EN MADOERA,163,Garoeng,JAVA EN MADOERA,Midden-Java,Wonosobo,Garoeng,JAVA EN MADOERA,Midden-Java,Wonosobo,Garoeng,,,,,33066,33589,66655,17,7,24,58,38,96,1,1,2,33142,33635,66777
JAVA EN MADOERA,165,Sapoeran,JAVA EN MADOERA,Midden-Java,Wonosobo,Sapoeran,JAVA EN MADOERA,Midden-Java,Wonosobo,Sapoeran,,,,,39496,39003,78499,10,6,16,54,34,88,4,2,6,39564,39045,78609
JAVA EN MADOERA,166,Ngadisono,JAVA EN MADOERA,Midden-Java,Wonosobo,Ngadisono,JAVA EN MADOERA,Midden-Java,Wonosobo,Ngadisono,,,,,31262,30890,62152,1,1,2,31,43,74,1,0,1,31295,30934,62229
JAVA EN MADOERA,162,Leksono,JAVA EN MADOERA,Midden-Java,Wonosobo,Leksono,JAVA EN MADOERA,Midden-Java,Wonosobo,Leksono,,,,,24281,24234,48515,0,0,0,8,6,14,2,1,3,24291,24241,48532
JAVA EN MADOERA,164,Wonosobo,JAVA EN MADOERA,Midden-Java,Wonosobo,Wonosobo,JAVA EN MADOERA,Midden-Java,Wonosobo,Wonosobo,,,,,35707,36323,72030,140,126,266,1163,904,2067,21,18,39,37031,37371,74402
JAVA EN MADOERA,367,Pandakan,JAVA EN MADOERA,Oost-Java,Bangil,Pandakan,JAVA EN MADOERA,Oost-Java,Bangil,Pandakan,,,,,36249,39128,75377,122,137,259,278,192,470,35,22,57,36684,39479,76163
JAVA EN MADOERA,368,Poerworedjo (in BANGIL),JAVA EN MADOERA,Oost-Java,Bangil,Poerworedjo (in BANGIL),JAVA EN MADOERA,Oost-Java,Bangil,Poerworedjo,,,,,35388,38850,74238,647,719,1366,601,382,983,62,48,110,36698,39999,76697
JAVA EN MADOERA,366,Bangil,JAVA EN MADOERA,Oost-Java,Bangil,Bangil,JAVA EN MADOERA,Oost-Java,Bangil,Bangil,,,,,40993,46603,87596,157,129,286,595,429,1024,604,681,1285,42349,47842,90191
JAVA EN MADOERA,365,Gempol,JAVA EN MADOERA,Oost-Java,Bangil,Gempol,JAVA EN MADOERA,Oost-Java,Bangil,Gempol,,,,,32110,35023,67133,34,26,60,431,325,756,108,58,166,32683,35432,68115
JAVA EN MADOERA,414,Blega,JAVA EN MADOERA,Oost-Java,Bangkalan,Blega,JAVA EN MADOERA,Oost-Java,Bangkalan,Blega,,,,,56797,65774,122571,9,5,14,42,42,84,14,16,30,56862,65837,122699
JAVA EN MADOERA,416,Sepoeloe,JAVA EN MADOERA,Oost-Java,Bangkalan,Sepoeloe,JAVA EN MADOERA,Oost-Java,Bangkalan,Sepoeloe,,,,,42105,48346,90451,0,0,0,97,141,238,0,0,0,42202,48487,90689
JAVA EN MADOERA,412,Bangkalan,JAVA EN MADOERA,Oost-Java,Bangkalan,Bangkalan,JAVA EN MADOERA,Oost-Java,Bangkalan,Bangkalan,,,,,45089,54297,99386,153,134,287,613,564,1177,108,125,233,45963,55120,101083
JAVA EN MADOERA,415,Arosbaja,JAVA EN MADOERA,Oost-Java,Bangkalan,Arosbaja,JAVA EN MADOERA,Oost-Java,Bangkalan,Arosbaja,,,,,42629,48041,90670,4,2,6,58,74,132,4,2,6,42695,48119,90814
JAVA EN MADOERA,413,Kwanjar [Kebanjar of Kabanjar],JAVA EN MADOERA,Oost-Java,Bangkalan,Kwanjar [Kebanjar of Kabanjar],JAVA EN MADOERA,Oost-Java,Bangkalan,Kwanjar,,,,,45882,53885,99767,3,2,5,59,51,110,15,10,25,45959,53948,99907
JAVA EN MADOERA,401,Genteng,JAVA EN MADOERA,Oost-Java,Banjoewangi,Genteng,JAVA EN MADOERA,Oost-Java,Banjoewangi,Genteng,,,,,137104,124466,261570,406,300,706,2156,1431,3587,116,55,171,139782,126252,266034
JAVA EN MADOERA,403,Banjoewangi,JAVA EN MADOERA,Oost-Java,Banjoewangi,Banjoewangi,JAVA EN MADOERA,Oost-Java,Banjoewangi,Banjoewangi,,,,,47538,45570,93108,289,238,527,849,516,1365,557,540,1097,49233,46864,96097
JAVA EN MADOERA,402,Rogodjampi,JAVA EN MADOERA,Oost-Java,Banjoewangi,Rogodjampi,JAVA EN MADOERA,Oost-Java,Banjoewangi,Rogodjampi,,,,,55311,54271,109582,64,38,102,862,513,1375,91,84,175,56328,54906,111234
JAVA EN MADOERA,337,Wlingi,JAVA EN MADOERA,Oost-Java,Blitar,Wlingi,JAVA EN MADOERA,Oost-Java,Blitar,Wlingi,,,,,55285,56618,111903,236,184,420,761,541,1302,11,3,14,56293,57346,113639
JAVA EN MADOERA,335,Blitar,JAVA EN MADOERA,Oost-Java,Blitar,Blitar,JAVA EN MADOERA,Oost-Java,Blitar,Blitar,,,,,77806,79931,157737,467,428,895,1864,1405,3269,52,28,80,80189,81792,161981
JAVA EN MADOERA,336,Gandoesari,JAVA EN MADOERA,Oost-Java,Blitar,Gandoesari,JAVA EN MADOERA,Oost-Java,Blitar,Gandoesari,,,,,30236,31006,61242,81,61,142,275,201,476,6,5,11,30598,31273,61871
JAVA EN MADOERA,338,Lodojo,JAVA EN MADOERA,Oost-Java,Blitar,Lodojo,JAVA EN MADOERA,Oost-Java,Blitar,Lodojo,,,,,72627,72707,145334,45,25,70,261,231,492,8,7,15,72941,72970,145911
JAVA EN MADOERA,334,Srengat,JAVA EN MADOERA,Oost-Java,Blitar,Srengat,JAVA EN MADOERA,Oost-Java,Blitar,Srengat,,,,,53311,52069,105380,119,109,228,252,152,404,1,1,2,53683,52331,106014
JAVA EN MADOERA,293,Bodjonegoro,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Bodjonegoro,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Bodjonegoro,,,,,61265,64137,125402,139,130,269,1258,1332,2590,95,92,187,62757,65691,128448
JAVA EN MADOERA,295,Baoereno,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Baoereno,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Baoereno,,,,,41241,42348,83589,3,0,3,131,163,294,3,2,5,41378,42513,83891
JAVA EN MADOERA,294,Pelem,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Pelem,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Pelem,,,,,45351,47529,92880,7,1,8,126,108,234,1,0,1,45485,47638,93123
JAVA EN MADOERA,290,Padangan,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Padangan,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Padangan,,,,,29709,30913,60622,19,16,35,265,282,547,6,2,8,29999,31213,61212
JAVA EN MADOERA,292,Ngoempak,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Ngoempak,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Ngoempak,,,,,53049,54920,107969,7,0,7,242,256,498,5,5,10,53303,55181,108484
JAVA EN MADOERA,291,Tambakredjo,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Tambakredjo,JAVA EN MADOERA,Oost-Java,Bodjonegoro,Tambakredjo,,,,,36950,38131,75081,15,10,25,62,62,124,0,0,0,37027,38203,75230
JAVA EN MADOERA,407,Pradjekan,JAVA EN MADOERA,Oost-Java,Bondowoso,Pradjekan,JAVA EN MADOERA,Oost-Java,Bondowoso,Pradjekan,,,,,34461,35283,69744,57,45,102,168,134,302,16,7,23,34702,35469,70171
JAVA EN MADOERA,405,Bondowoso,JAVA EN MADOERA,Oost-Java,Bondowoso,Bondowoso,JAVA EN MADOERA,Oost-Java,Bondowoso,Bondowoso,,,,,53847,56752,110599,304,273,577,849,674,1523,572,621,1193,55572,58320,113892
JAVA EN MADOERA,404,Tamanan,JAVA EN MADOERA,Oost-Java,Bondowoso,Tamanan,JAVA EN MADOERA,Oost-Java,Bondowoso,Tamanan,,,,,46803,48748,95551,32,30,62,232,174,406,13,15,28,47080,48967,96047
JAVA EN MADOERA,406,Wonosari (in BONDOWOSO),JAVA EN MADOERA,Oost-Java,Bondowoso,Wonosari (in BONDOWOSO),JAVA EN MADOERA,Oost-Java,Bondowoso,Wonosari,,,,,44016,46611,90627,28,10,38,196,179,375,15,14,29,44255,46814,91069
JAVA EN MADOERA,397,Rambipoedji,JAVA EN MADOERA,Oost-Java,Djember,Rambipoedji,JAVA EN MADOERA,Oost-Java,Djember,Rambipoedji,,,,,66246,65683,131929,90,63,153,527,398,925,38,43,81,66901,66187,133088
JAVA EN MADOERA,395,Poeger,JAVA EN MADOERA,Oost-Java,Djember,Poeger,JAVA EN MADOERA,Oost-Java,Djember,Poeger,,,,,74276,69192,143468,191,143,334,752,569,1321,20,16,36,75239,69920,145159
JAVA EN MADOERA,400,Kalisat,JAVA EN MADOERA,Oost-Java,Djember,Kalisat,JAVA EN MADOERA,Oost-Java,Djember,Kalisat,,,,,64922,66934,131856,121,90,211,582,375,957,46,35,81,65671,67434,133105
JAVA EN MADOERA,398,Djember,JAVA EN MADOERA,Oost-Java,Djember,Djember,JAVA EN MADOERA,Oost-Java,Djember,Djember,,,,,69499,70456,139955,494,408,902,1422,935,2357,145,88,233,71560,71887,143447
JAVA EN MADOERA,399,Majang,JAVA EN MADOERA,Oost-Java,Djember,Majang,JAVA EN MADOERA,Oost-Java,Djember,Majang,,,,,47675,47287,94962,132,80,212,319,193,512,6,6,12,48132,47566,95698
JAVA EN MADOERA,394,Tanggoel,JAVA EN MADOERA,Oost-Java,Djember,Tanggoel,JAVA EN MADOERA,Oost-Java,Djember,Tanggoel,,,,,76164,74878,151042,274,179,453,778,564,1342,67,53,120,77283,75674,152957
JAVA EN MADOERA,396,Woeloehan,JAVA EN MADOERA,Oost-Java,Djember,Woeloehan,JAVA EN MADOERA,Oost-Java,Djember,Woeloehan,,,,,66112,61050,127162,160,123,283,1247,791,2038,87,55,142,67606,62019,129625
JAVA EN MADOERA,352,Ploso,JAVA EN MADOERA,Oost-Java,Djombang,Ploso,JAVA EN MADOERA,Oost-Java,Djombang,Ploso,,,,,40293,42528,82821,66,40,106,391,371,762,14,10,24,40764,42949,83713
JAVA EN MADOERA,351,Modjoagoeng,JAVA EN MADOERA,Oost-Java,Djombang,Modjoagoeng,JAVA EN MADOERA,Oost-Java,Djombang,Modjoagoeng,,,,,65273,68961,134234,136,94,230,684,517,1201,21,24,45,66114,69596,135710
JAVA EN MADOERA,349,Ngoro,JAVA EN MADOERA,Oost-Java,Djombang,Ngoro,JAVA EN MADOERA,Oost-Java,Djombang,Ngoro,,,,,48011,49629,97640,116,96,212,327,230,557,13,8,21,48467,49963,98430
JAVA EN MADOERA,350,Djombang,JAVA EN MADOERA,Oost-Java,Djombang,Djombang,JAVA EN MADOERA,Oost-Java,Djombang,Djombang,,,,,92443,96000,188443,419,377,796,1818,1531,3349,222,166,388,94902,98074,192976
JAVA EN MADOERA,303,Grisee,JAVA EN MADOERA,Oost-Java,Grisee,Grisee,JAVA EN MADOERA,Oost-Java,Grisee,Grisee,,,,,29531,35515,65046,99,72,171,939,852,1791,486,635,1121,31055,37074,68129
JAVA EN MADOERA,301,Sidajoe,JAVA EN MADOERA,Oost-Java,Grisee,Sidajoe,JAVA EN MADOERA,Oost-Java,Grisee,Sidajoe,,,,,54291,59474,113765,12,4,16,105,89,194,7,5,12,54415,59572,113987
JAVA EN MADOERA,302,Karangbinangoen,JAVA EN MADOERA,Oost-Java,Grisee,Karangbinangoen,JAVA EN MADOERA,Oost-Java,Grisee,Karangbinangoen,,,,,32971,35706,68677,0,0,0,7,2,9,1,1,2,32979,35709,68688
JAVA EN MADOERA,304,Tjerme,JAVA EN MADOERA,Oost-Java,Grisee,Tjerme,JAVA EN MADOERA,Oost-Java,Grisee,Tjerme,,,,,43707,45763,89470,2,0,2,98,43,141,13,7,20,43820,45813,89633
JAVA EN MADOERA,346,Kediri,JAVA EN MADOERA,Oost-Java,Kediri,Kediri,JAVA EN MADOERA,Oost-Java,Kediri,Kediri,,,,,40781,42742,83523,435,417,852,2008,1728,3736,64,43,107,43288,44930,88218
JAVA EN MADOERA,345,Ngadiloewih,JAVA EN MADOERA,Oost-Java,Kediri,Ngadiloewih,JAVA EN MADOERA,Oost-Java,Kediri,Ngadiloewih,,,,,68601,70035,138636,206,140,346,675,490,1165,4,6,10,69486,70671,140157
JAVA EN MADOERA,348,Papar,JAVA EN MADOERA,Oost-Java,Kediri,Papar,JAVA EN MADOERA,Oost-Java,Kediri,Papar,,,,,69573,71744,141317,129,92,221,456,495,951,15,9,24,70173,72340,142513
JAVA EN MADOERA,347,Pare,JAVA EN MADOERA,Oost-Java,Kediri,Pare,JAVA EN MADOERA,Oost-Java,Kediri,Pare,,,,,90869,93386,184255,487,429,916,1531,1232,2763,58,53,111,92945,95100,188045
JAVA EN MADOERA,344,Modjoroto,JAVA EN MADOERA,Oost-Java,Kediri,Modjoroto,JAVA EN MADOERA,Oost-Java,Kediri,Modjoroto,,,,,64969,66031,131000,212,210,422,247,217,464,2,1,3,65430,66459,131889
JAVA EN MADOERA,390,Gending,JAVA EN MADOERA,Oost-Java,Kraksaan,Gending,JAVA EN MADOERA,Oost-Java,Kraksaan,Gending,,,,,43160,45369,88529,92,69,161,211,166,377,49,49,98,43512,45653,89165
JAVA EN MADOERA,392,Paiton,JAVA EN MADOERA,Oost-Java,Kraksaan,Paiton,JAVA EN MADOERA,Oost-Java,Kraksaan,Paiton,,,,,26628,28248,54876,44,24,68,69,36,105,2,2,4,26743,28310,55053
JAVA EN MADOERA,391,Kraksaän,JAVA EN MADOERA,Oost-Java,Kraksaan,Kraksaän,JAVA EN MADOERA,Oost-Java,Kraksaan,Kraksaan,,,,,32389,34470,66859,130,110,240,395,323,718,109,97,206,33023,35000,68023
JAVA EN MADOERA,393,Gading,JAVA EN MADOERA,Oost-Java,Kraksaan,Gading,JAVA EN MADOERA,Oost-Java,Kraksaan,Gading,,,,,33304,34777,68081,11,5,16,26,9,35,0,0,0,33341,34791,68132
JAVA EN MADOERA,297,Babat,JAVA EN MADOERA,Oost-Java,Lamongan,Babat,JAVA EN MADOERA,Oost-Java,Lamongan,Babat,,,,,53736,56119,109855,8,8,16,397,342,739,58,60,118,54199,56529,110728
JAVA EN MADOERA,300,Patjiran,JAVA EN MADOERA,Oost-Java,Lamongan,Patjiran,JAVA EN MADOERA,Oost-Java,Lamongan,Patjiran,,,,,53549,57497,111046,11,5,16,107,103,210,4,3,7,53671,57608,111279
JAVA EN MADOERA,299,Soekodadi,JAVA EN MADOERA,Oost-Java,Lamongan,Soekodadi,JAVA EN MADOERA,Oost-Java,Lamongan,Soekodadi,,,,,60818,64406,125224,1,1,2,69,47,116,5,5,10,60893,64459,125352
JAVA EN MADOERA,296,Ngimbang,JAVA EN MADOERA,Oost-Java,Lamongan,Ngimbang,JAVA EN MADOERA,Oost-Java,Lamongan,Ngimbang,,,,,36271,38051,74322,12,6,18,110,80,190,1,1,2,36394,38138,74532
JAVA EN MADOERA,298,Lamongan,JAVA EN MADOERA,Oost-Java,Lamongan,Lamongan,JAVA EN MADOERA,Oost-Java,Lamongan,Lamongan,,,,,59621,63359,122980,15,11,26,230,240,476,16,6,22,59888,63616,123504
JAVA EN MADOERA,382,Tempeh,JAVA EN MADOERA,Oost-Java,Loemadjang,Tempeh,JAVA EN MADOERA,Oost-Java,Loemadjang,Tempeh,,,,,55517,56688,112205,170,89,259,544,376,920,34,22,56,56265,57175,113440
JAVA EN MADOERA,383,Loemadjang,JAVA EN MADOERA,Oost-Java,Loemadjang,Loemadjang,JAVA EN MADOERA,Oost-Java,Loemadjang,Loemadjang,,,,,60462,61841,122303,222,201,423,1034,747,1781,113,99,212,61831,62888,124719
JAVA EN MADOERA,384,Kandangan (in JAVA EN MADOERA),JAVA EN MADOERA,Oost-Java,Loemadjang,Kandangan (in JAVA EN MADOERA),JAVA EN MADOERA,Oost-Java,Loemadjang,Kandangan,,,,,17910,18687,36597,24,13,37,93,74,167,2,3,5,18029,18777,36806
JAVA EN MADOERA,385,Ranoelamongan,JAVA EN MADOERA,Oost-Java,Loemadjang,Ranoelamongan,JAVA EN MADOERA,Oost-Java,Loemadjang,Ranoelemongan,,,,,60886,62084,122970,358,263,621,443,299,742,39,18,57,61726,62664,124390
JAVA EN MADOERA,313,Madioen,JAVA EN MADOERA,Oost-Java,Madioen,Madioen,JAVA EN MADOERA,Oost-Java,Madioen,Madioen,,,,,66615,68706,135321,829,921,1750,1865,1435,3300,83,31,114,69392,71093,140485
JAVA EN MADOERA,316,Oeteran,JAVA EN MADOERA,Oost-Java,Madioen,Oeteran,JAVA EN MADOERA,Oost-Java,Madioen,Oeteran,,,,,54737,55172,109909,67,38,105,129,95,224,1,1,2,54934,55306,110240
JAVA EN MADOERA,315,Kanigoro,JAVA EN MADOERA,Oost-Java,Madioen,Kanigoro,JAVA EN MADOERA,Oost-Java,Madioen,Kanigoro,,,,,28844,29875,58719,71,44,115,36,34,70,0,0,0,28951,29953,58904
JAVA EN MADOERA,314,Tjaroeban,JAVA EN MADOERA,Oost-Java,Madioen,Tjaroeban,JAVA EN MADOERA,Oost-Java,Madioen,Tjaroeban,,,,,42721,44231,86952,46,33,79,322,286,608,0,0,0,43089,44550,87639
JAVA EN MADOERA,310,Magetan,JAVA EN MADOERA,Oost-Java,Magetan,Magetan,JAVA EN MADOERA,Oost-Java,Magetan,Magetan,,,,,45879,47927,93806,94,102,196,291,234,525,2,1,3,46266,48264,94530
JAVA EN MADOERA,312,Gorang-gareng,JAVA EN MADOERA,Oost-Java,Magetan,Gorang-gareng,JAVA EN MADOERA,Oost-Java,Magetan,Gorang-Gareng,,,,,43651,46909,90560,55,45,100,86,66,152,0,2,2,43792,47022,90814
JAVA EN MADOERA,311,Parang,JAVA EN MADOERA,Oost-Java,Magetan,Parang,JAVA EN MADOERA,Oost-Java,Magetan,Parang,,,,,30966,31825,62791,3,1,4,10,4,14,0,0,0,30979,31830,62809
